code,country,Population,total wealth,gross national savings,death rate,c02 damages,corruption score
MAR,Morocco,33008000,9.55E+11,27448336644,4.79,363585611,39
VEN,Venezuela,30405000,1.85E+12,1.09E+11,5.27,1521938711,19
PER,Peru,30376000,1.26E+12,29017125129,5.99,324448114,38
UZB,Uzbekistan,30241000,1.39E+11,11310429251,5.29,1120397354,18
SAU,Saudi Arabia,28829000,3.38E+12,2.31E+11,3.32,2949290855,49
NPL,Nepal,27797000,1.52E+11,4779397469,6.62,25111290,29
GHA,Ghana,25905000,2.10E+11,1099566168,7.37,69481206,48
MOZ,Mozambique,25834000,1.08E+11,665660868,12.34,18090190,31
AUS,Australia,23131000,1.05E+13,3.18E+11,7.07,2851358014,80
MDG,Madagascar,22925000,64917750854,1379234633,6.95,24286833,28
SYR,Syria,22846000,3.88E+11,6834201338,6.51,568618421,20
AGO,Angola,21472000,2.20E+11,16966261397,11.67,116953193,19
LKA,Sri Lanka,20483000,4.25E+11,7303099828,6.06,103821018,38
CIV,Cote d'Ivoire,20316000,2.63E+11,2858715935,9.67,53896324,32
ROM,Romania,19964000,1.75E+12,49754561257,11.88,869858911,43
CHL,Chile,17620000,1.66E+12,37667943064,5.93,485093901,73
NLD,Netherlands,16804000,9.69E+12,90252852738,8.57,1395705495,83
MWI,Malawi,16363000,44716723709,1263654898,8.74,9861985,33
ECU,Ecuador,15738000,5.77E+11,16857305803,5.04,246617259,33
GTM,Guatemala,15468000,5.48E+11,5520339302,4.82,98450205,32
ZMB,Zambia,14539000,1.13E+11,2775523046,12.92,20474591,38
SEN,Senegal,14133000,1.59E+11,2371477599,8.65,41767297,43
TCD,Chad,12825000,48683202990,245734799,14.56,3209537,22
RWA,Rwanda,11777000,48135649940,1223125368,9.18,7269956,49
GIN,Guinea,11745000,56453018329,99815151,9.69,10831023,25
GRC,Greece,11032000,4.36E+12,25471661922,11,798464090,43
TUN,Tunisia,10887000,4.75E+11,8556626821,5.94,194547342,40
BOL,Bolivia,10671000,1.38E+11,4832751773,6.59,85110847,35
CZE,Czech Republic,10521000,1.85E+12,48424952186,10.29,994212914,51
PRT,Portugal,10460000,3.23E+12,29280920825,10.97,470395860,63
DOM,Dominican Republic,10404000,6.38E+11,3920355345,4.5,190686067,32
HUN,Hungary,9897000,1.75E+12,22602376297,12.72,457649539,54
SWE,Sweden,9593000,5.67E+12,1.33E+11,9.45,414921575,87
BLR,Belarus,9466000,4.67E+11,16920041199,13.51,648504968,31
AZE,Azerbaijan,9417000,1.28E+11,25736425608,7.09,474375947,29
AUT,Austria,8474000,4.70E+12,1.12E+11,10.38,565330299,72
TJK,Tajikistan,8208000,43804414463,1281780043,6.28,53042290,23
HND,Honduras,8098000,1.83E+11,2758872911,5.13,63172504,29
ISR,Israel,8059000,2.27E+12,39347463322,5.54,577703130,60
PNG,Papua New Guinea,7321000,52916846895,2358254316,6.53,37896027,25
BGR,Bulgaria,7265000,4.95E+11,6793272170,14.3,418912933,43
HKG,Hong Kong ,7188000,2.51E+12,64114113833,6.93,349203731,74
JOR,Jordan,6459000,2.78E+11,3038898996,3.8,187796937,49
SLV,El Salvador,6340000,3.64E+11,1712100000,5.67,51725130,39
SLE,Sierra Leone,6092000,22241575368,104453539,11.03,8497246,31
DNK,Denmark,5614000,4.02E+12,82506223814,10.23,393619090,92
FIN,Finland,5439000,2.99E+12,67611551241,10.51,522366536,89
SVK,Slovakia,5414000,7.67E+11,21865191633,9.7,354810989,50
SGP,Singapore,5399000,1.31E+12,83183121594,3.42,477800714,84
NOR,Norway,5084000,3.98E+12,1.86E+11,8.19,383698930,86
CRI,Costa Rica,4872000,3.40E+11,4610442907,4.49,64421751,54
CAF,Central African Republic,4616000,27076332320,34767744,14.11,1908692,24
IRL,Ireland,4595000,2.49E+12,46846808061,6.45,354910108,74
GEO,Georgia,4477000,1.19E+11,1046548484,10.77,42338895,52
COG,Republic of the Congo,4448000,24062132081,2033292631,10.17,12459937,23
LBR,Liberia,4294000,11057450444,-18059702,9.9,6145894,37
HRV,Croatia,4253000,7.40E+11,14600186811,12.13,198038251,48
PAN,Panama,3864000,2.43E+11,6047653569,4.77,59933099,37
MDA,Moldova,3559000,67537063080,1383874045,12.6,67608351,35
URY,Uruguay,3407000,2.87E+11,5771044193,9.48,54086607,73
KWT,Kuwait,3369000,8.27E+11,92766167814,2.16,596277730,44
ARM,Armenia,2977000,88047142448,3486047923,9.3,41345937,37
LTU,Lithuania,2956000,4.54E+11,6981812811,11.55,123310730,58
MNG,Mongolia,2839000,34174036529,1358631411,6.38,85175306,39
ALB,Albania,2774000,1.66E+11,2276499060,6.47,39752586,33
NAM,Namibia,2303000,1.21E+11,1474792922,13.6,22847810,49
LSO,Lesotho,2074000,36659439367,364233818,14.91,0,49
BWA,Botswana,2021000,1.04E+11,6091777433,13.32,36358316,63
LVA,Latvia,2013000,2.79E+11,7364483740,13.6,63241868,55
GMB,The Gambia,1849000,8846007427,84418484,7.26,2863926,29
GNB,Guinea-Bissau,1704000,5933085299,93401569,14.54,2155838,19
GAB,Gabon,1672000,80959723978,6033946473,13.13,14132767,37
TTO,Trinidad and Tobago,1341000,1.52E+11,9727236949,8.48,271776775,38
BHR,Bahrain,1332000,1.47E+11,9515790663,2.67,176119174,49
MUS,Mauritius,1296000,1.05E+11,1567622646,6.85,28532671,54
SWZ,Swaziland,1250000,45684405217,308280099,13.75,8190546,43
GUY,Guyana,800000,14431223653,378605627,7.3,12112699,30
BTN,Bhutan,754000,10461909257,789572841,6.78,3936971,65
COM,Comoros,735000,8724820928,59614950,7.76,666138,26
VCT,Saint Vincent and the Grenadines,109000,7089805069,77436870,7.12,1663666,67
SYC,Seychelles,89000,13837428940,22850860,6.9,6040803,55
DMA,Dominica,72000,5478029872,14251852,7.94,943597,58
